order_id,customer,amount,date
ORD-30001,Northwind Traders,1240.50,2025-07-02
ORD-30002,Blue Harbor Cafe,318.00,2025-07-03
ORD-30003,Veridian Labs,2890.75,2025-07-05
ORD-30004,Pine & Co,612.40,2025-07-08
ORD-30005,Kestrel Logistics,4502.10,2025-07-09
ORD-30006,Northwind Traders,980.25,2025-07-11
ORD-30007,Aster Holdings,1755.00,2025-07-14
ORD-30008,Blue Harbor Cafe,422.80,2025-07-15
ORD-30009,Sunfield Bakery,189.60,2025-07-17
ORD-30010,Veridian Labs,3201.00,2025-07-18
ORD-30011,Mercer Group,876.45,2025-07-21
ORD-30012,Kestrel Logistics,2104.30,2025-07-23
ORD-30013,Pine & Co,540.00,2025-07-24
ORD-30014,Halcyon Studios,2750.00,2025-07-25
ORD-30015,Aster Holdings,1490.20,2025-07-28
ORD-30016,Sunfield Bakery,212.00,2025-07-30
ORD-30017,Northwind Traders,1180.90,2025-08-01
ORD-30018,Mercer Group,950.00,08/04/2025
ORD-30019,Blue Harbor Cafe,360.50,2025-08-06
ORD-30020,Veridian Labs,2670.00,2025-08-08
ORD-30021,Halcyon Studios,1325.75,2025-08-12
ORD-30022,Kestrel Logistics,3890.00,2025-08-14
ORD-30023,Pine & Co,705.10,2025-08-18
ORD-30024,Aster Holdings,1602.40,2025-08-20
ORD-30025,Sunfield Bakery,245.30,2025-08-22
ORD-30026,Mercer Group,1110.00,2025-08-25
ORD-30027,Northwind Traders,1402.60,2025-08-27
ORD-30028,Veridian Labs,2980.55,2025-08-29
ORD-30029,Halcyon Studios,1689.00,2025-09-02
ORD-30030,Blue Harbor Cafe,389.25,2025-09-04
