BANK STATEMENT
Account: Personal Current ****8821
Period: 01 Nov 2025 – 30 Nov 2025
Opening balance: HKD 18,402.55

Date        Description                                  Amount        Balance
----------  -------------------------------------------- ------------  -------------
2025-11-01  PAYROLL - MERIDIAN CAPITAL LTD               +42,000.00    60,402.55
2025-11-02  PARKNSHOP TST                                   -312.40    60,090.15
2025-11-02  ABC LIMITED                                       -0.99    60,089.16
2025-11-03  HKT BROADBAND AUTOPAY                         -1,280.00    58,809.16
2025-11-04  RENT TRANSFER REF WONG                        -3,200.00    55,609.16
2025-11-05  ATM WITHDRAWAL HSBC CENTRAL                   -2,000.00    53,609.16
2025-11-06  UBER HK                                          -95.00    53,514.16
2025-11-07  STARBUCKS COFFEE                                 -58.00    53,456.16
2025-11-08  CITYSUPER IFC                                 -1,450.00    52,006.16
2025-11-10  CATHAY PACIFIC AIRWAYS HKG-NRT                -6,800.00    45,206.16
2025-11-11  HOTEL TOKYO SHIBUYA (FX FEE INCL)             -2,140.00    43,066.16
2025-11-13  UNIQLO TOKYO (FX FEE INCL)                      -640.00    42,426.16
2025-11-15  CLP ELECTRICITY NOV                           -1,100.00    41,326.16
2025-11-16  NETFLIX SUBSCRIPTION                            -101.00    41,225.16
2025-11-17  ATM WITHDRAWAL HSBC WANCHAI                   -2,000.00    39,225.16
2025-11-18  PURE GYM AUTOPAY                              -1,280.00    37,945.16
2025-11-19  YARDBIRD HK                                     -540.00    37,405.16
2025-11-20  TRANSFER TO SAVINGS ****4410                  -8,000.00    29,405.16
2025-11-22  SMARTONE PHONE                                -1,080.00    28,325.16
2025-11-23  AMAZON HK                                       -388.00    27,937.16
2025-11-25  PARKNSHOP TST                                 -1,180.00    26,757.16
2025-11-26  STARBUCKS COFFEE                                 -58.00    26,699.16
2025-11-27  GIFT TO MUM REF MA                            -3,000.00    23,699.16
2025-11-28  RENT TRANSFER REF WONG                        -3,200.00    20,499.16
2025-11-30  INTEREST CREDIT                                   +4.82    20,503.98

Closing balance: HKD 20,503.98
